lettuce_type,month,supply_index,source_region,disaster_frequency,risk_baseline,risk_level
iceberg,1,0.439,"Yuma, AZ",2.933,0.693,high
iceberg,2,0.345,"Yuma, AZ",3.183,0.758,high
iceberg,3,0.486,"Salinas Valley, CA",1.1,0.66,high
iceberg,4,0.579,"Salinas Valley, CA",0.1,0.345,medium
iceberg,5,0.891,"Salinas Valley, CA",0.283,0.218,low
iceberg,6,1.0,"Salinas Valley, CA",0.958,0.3,medium
iceberg,7,0.937,"Salinas Valley, CA",3.417,0.344,medium
iceberg,8,0.875,"Salinas Valley, CA",5.683,0.387,medium
iceberg,9,0.828,"Salinas Valley, CA",3.633,0.42,high
iceberg,10,0.579,"Salinas Valley, CA",3.3,0.595,high
iceberg,11,0.423,"Yuma, AZ",0.325,0.566,high
iceberg,12,0.439,"Yuma, AZ",1.55,0.693,high
romaine,1,0.439,"Yuma, AZ",2.933,0.693,high
romaine,2,0.345,"Yuma, AZ",3.183,0.758,high
romaine,3,0.486,"Salinas Valley, CA",1.1,0.66,high
romaine,4,0.579,"Salinas Valley, CA",0.1,0.345,medium
romaine,5,0.891,"Salinas Valley, CA",0.283,0.218,low
romaine,6,1.0,"Salinas Valley, CA",0.958,0.3,medium
romaine,7,0.937,"Salinas Valley, CA",3.417,0.344,medium
romaine,8,0.875,"Salinas Valley, CA",5.683,0.387,medium
romaine,9,0.828,"Salinas Valley, CA",3.633,0.42,high
romaine,10,0.579,"Salinas Valley, CA",3.3,0.595,high
romaine,11,0.423,"Yuma, AZ",0.325,0.566,high
romaine,12,0.439,"Yuma, AZ",1.55,0.693,high
butterhead,1,0.439,"Yuma, AZ",2.933,0.693,high
butterhead,2,0.345,"Yuma, AZ",3.183,0.758,high
butterhead,3,0.486,"Salinas Valley, CA",1.1,0.66,high
butterhead,4,0.579,"Salinas Valley, CA",0.1,0.345,medium
butterhead,5,0.891,"Salinas Valley, CA",0.283,0.218,low
butterhead,6,1.0,"Salinas Valley, CA",0.958,0.3,medium
butterhead,7,0.937,"Salinas Valley, CA",3.417,0.344,medium
butterhead,8,0.875,"Salinas Valley, CA",5.683,0.387,medium
butterhead,9,0.828,"Salinas Valley, CA",3.633,0.42,high
butterhead,10,0.579,"Salinas Valley, CA",3.3,0.595,high
butterhead,11,0.423,"Yuma, AZ",0.325,0.566,high
butterhead,12,0.439,"Yuma, AZ",1.55,0.693,high
leaf,1,0.439,"Yuma, AZ",2.933,0.693,high
leaf,2,0.345,"Yuma, AZ",3.183,0.758,high
leaf,3,0.486,"Salinas Valley, CA",1.1,0.66,high
leaf,4,0.579,"Salinas Valley, CA",0.1,0.345,medium
leaf,5,0.891,"Salinas Valley, CA",0.283,0.218,low
leaf,6,1.0,"Salinas Valley, CA",0.958,0.3,medium
leaf,7,0.937,"Salinas Valley, CA",3.417,0.344,medium
leaf,8,0.875,"Salinas Valley, CA",5.683,0.387,medium
leaf,9,0.828,"Salinas Valley, CA",3.633,0.42,high
leaf,10,0.579,"Salinas Valley, CA",3.3,0.595,high
leaf,11,0.423,"Yuma, AZ",0.325,0.566,high
leaf,12,0.439,"Yuma, AZ",1.55,0.693,high
spring_mix,1,0.439,"Yuma, AZ",2.933,0.693,high
spring_mix,2,0.345,"Yuma, AZ",3.183,0.758,high
spring_mix,3,0.486,"Salinas Valley, CA",1.1,0.66,high
spring_mix,4,0.579,"Salinas Valley, CA",0.1,0.345,medium
spring_mix,5,0.891,"Salinas Valley, CA",0.283,0.218,low
spring_mix,6,1.0,"Salinas Valley, CA",0.958,0.3,medium
spring_mix,7,0.937,"Salinas Valley, CA",3.417,0.344,medium
spring_mix,8,0.875,"Salinas Valley, CA",5.683,0.387,medium
spring_mix,9,0.828,"Salinas Valley, CA",3.633,0.42,high
spring_mix,10,0.579,"Salinas Valley, CA",3.3,0.595,high
spring_mix,11,0.423,"Yuma, AZ",0.325,0.566,high
spring_mix,12,0.439,"Yuma, AZ",1.55,0.693,high
