delay_hours,delay_temp_f,shelf_life_days,consumption_pct,lettuce_type_encoded,organic,month,seasonal_price_index,transit_distance_km,pre_delay_consumption_pct,loss_rate
62.92,58.5,2.0,177.75,0,0,1,1.0683,5503.4,14.97,1.0
9.76,56.0,2.0,23.39,0,0,1,1.0683,4528.3,17.7,0.083275
3.46,59.1,2.0,6.19,0,0,1,1.0683,6251.7,5.31,0.078677
51.11,45.7,5.7,24.26,0,0,1,1.0683,3268.0,7.28,0.077373
102.79,34.2,20.54,15.11,0,0,1,1.0683,2226.5,9.16,0.107982
33.55,45.4,5.83,8.81,0,0,1,1.0683,4463.5,1.16,0.079696
102.07,35.1,18.21,31.02,0,0,1,1.0683,534.6,23.72,0.070493
114.95,43.2,6.9,64.24,0,0,1,1.0683,959.2,12.38,0.24423
5.78,57.3,2.0,18.78,0,0,1,1.0683,1977.9,16.56,0.083309
91.85,35.5,17.14,26.11,0,0,1,1.0683,7273.4,19.38,0.07
157.84,56.8,2.0,875.24,0,0,1,1.0683,4504.4,23.05,1.0
65.3,38.1,10.14,18.28,0,0,1,1.0683,6224.1,8.92,0.084189
47.2,46.3,5.49,35.82,0,0,1,1.0683,1099.9,20.05,0.078002
0.93,54.5,2.21,18.29,0,0,1,1.0683,5316.1,18.23,0.100031
129.57,32.2,21.0,11.57,0,0,1,1.0683,2720.6,2.9,0.085879
55.59,31.9,21.0,10.02,0,0,1,1.0683,2366.8,8.13,0.097565
122.57,49.1,4.35,145.34,0,0,1,1.0683,6659.7,11.81,1.0
127.81,46.8,5.26,114.43,0,0,1,1.0683,5793.7,12.34,0.97142
87.82,42.8,7.09,33.12,0,0,1,1.0683,239.4,2.7,0.087801
52.81,45.3,5.9,23.19,0,0,1,1.0683,6811.4,6.23,0.089527
68.94,52.7,2.93,98.23,0,0,1,1.0683,1754.5,1.92,0.83198
156.19,54.2,2.3,670.74,0,0,1,1.0683,4768.9,21.79,1.0
135.02,35.6,17.01,27.13,0,0,1,1.0683,6699.6,13.48,0.081708
38.29,42.8,7.09,28.34,0,0,1,1.0683,6144.2,21.52,0.088988
1.17,45.3,5.87,5.57,0,0,1,1.0683,3159.7,5.55,0.072748
158.41,39.7,8.98,75.05,0,0,1,1.0683,3915.0,17.58,0.411696
61.09,59.2,2.0,160.65,0,0,1,1.0683,7220.2,6.29,0.99019
47.85,31.1,21.0,14.01,0,0,1,1.0683,4591.3,12.57,0.084193
8.65,38.4,9.98,6.24,0,0,1,1.0683,6816.6,5.99,0.088731
165.59,37.3,10.8,63.65,0,0,1,1.0683,5057.4,19.04,0.225995
39.92,51.8,3.26,45.57,0,0,1,1.0683,2790.0,15.81,0.130753
15.17,55.1,2.0,17.24,0,0,1,1.0683,2439.8,4.66,0.124095
6.85,47.7,4.91,1.01,0,0,1,1.0683,5097.9,0.41,0.07
108.39,35.2,17.92,18.03,0,0,1,1.0683,5197.5,9.67,0.088768
157.37,34.1,20.69,15.48,0,0,1,1.0683,2590.9,2.84,0.096003
137.29,46.7,5.34,119.33,0,0,1,1.0683,3995.9,6.05,0.972034
15.64,56.9,2.0,29.12,0,0,1,1.0683,6758.1,15.83,0.073243
121.96,56.9,2.0,555.25,0,0,1,1.0683,6658.8,19.5,1.0
107.86,32.5,21.0,28.7,0,0,1,1.0683,1254.1,22.46,0.088248
0.85,34.8,18.94,17.3,0,0,1,1.0683,4138.1,17.3,0.070063
109.53,36.7,12.36,22.57,0,0,1,1.0683,5355.7,5.93,0.112731
109.14,55.5,2.0,452.86,0,0,1,1.0683,4949.2,14.21,1.0
15.74,41.0,7.98,7.21,0,0,1,1.0683,2025.8,6.1,0.075221
149.86,48.9,4.43,198.34,0,0,1,1.0683,5971.3,12.57,1.0
96.92,44.8,6.11,65.49,0,0,1,1.0683,1504.6,18.06,0.247076
158.0,58.6,2.0,863.01,0,0,1,1.0683,6865.7,9.25,1.0
2.6,57.8,2.0,24.69,0,0,1,1.0683,3240.0,24.17,0.07
142.99,39.5,9.12,60.4,0,0,1,1.0683,1312.7,13.92,0.173366
157.27,50.9,3.65,289.49,0,0,1,1.0683,4297.0,2.43,1.0
147.4,52.2,3.11,357.77,0,0,1,1.0683,5242.8,17.56,1.0
60.39,38.8,9.64,29.16,0,0,1,1.0683,6079.7,20.25,0.10593
134.11,49.5,4.2,187.06,0,0,1,1.0683,5279.7,19.89,1.0
149.52,40.1,8.65,57.8,0,0,1,1.0683,2848.1,2.35,0.174346
78.22,46.3,5.49,53.91,0,0,1,1.0683,2184.7,14.77,0.160323
5.12,31.1,21.0,9.03,0,0,1,1.0683,6178.4,9.0,0.089358
129.36,36.5,13.63,20.97,0,0,1,1.0683,4690.5,2.13,0.07
8.68,45.9,5.62,16.65,0,0,1,1.0683,4077.7,15.94,0.07
133.59,38.1,10.16,35.84,0,0,1,1.0683,3320.3,1.96,0.099458
4.26,58.9,2.0,18.68,0,0,1,1.0683,6278.1,17.4,0.07
26.28,37.5,10.62,19.54,0,0,1,1.0683,4141.7,17.86,0.078394
110.91,38.4,9.95,43.59,0,0,1,1.0683,7163.7,18.45,0.164484
70.49,37.4,10.68,28.74,0,0,1,1.0683,2702.0,18.95,0.106934
2.42,33.5,21.0,1.02,0,0,1,1.0683,392.7,1.02,0.08071
